id,article_id,comment_counter,comment_id,text,reactions,post_time,author,replies
16,10012655,source2_10012655_7,336837_0,"All of this is true.Further, the hazards of the temporary foreign worker programme - specifically its likeness to some European processes where they DO have a problem with immigration - has been talked about since, oh 2006.Yet the Globe consistently promoted Harper policies in general and Jason &quot;curry in a hurry&quot; Kenney's &quot;reforms&quot; in particular.What's changed Globe?Did you think the Harper Government (TM) would magically get something right?",{},"Mar 20, 2013",sirencall,No
17,10012655,source2_10012655_8,511538_0,How do you spell exploitation? This is a disgusting practice that sanctions abuses of fundamental rights and human decency. We cannot continue to condone it.EJSscrabaVictoria BC,{},"Mar 22, 2013",EJS1018,No
18,10012655,source2_10012655_9,390997_0,"TFWs work against the tenets of the free market. In a free market, wages (like prices) are set by the market - if you pay too low, nobody buys into your job. As with prices, you have to price your job to meet the market.Then you bring in the Conservatives, who claim to be faithful to the market economy, and they skew the market by allowing employers not only to bring in people from overseas to take the positions but allow them to pay below market wages.This party is not a free market party, it is a corporatist party, and they are NOT the same.",{},"Mar 21, 2013",john2012,Yes
19,10012655,source2_10012655_9_0,390997_0,like to give you 10 thumbs up,{},"Mar 22, 2013",stono,No
20,10012655,source2_10012655_9_1,390997_0," TFWs have a proper place in the economy.Do you want to live in a bunkhouse at the farm during the harvest season?Some of these farms would have to close down if TFWs were not available, otherwise they could not compete with produce from California picked by Mexicans.TFWs should not be allowed to compete for jobs in the cities and towns, however.",{},"Mar 22, 2013",Seedy How,No
21,10012655,source2_10012655_10,617226_0,"This is nonsense.The TFW program has saved the service industry in Alberta.The federal gov't determines the baseline wage that must be paid by job classification in each community based on local wage norms.TFW's can only be hired after a business has advertised extensively for local workers.The cost to a business to bring in TFW's is very expensive (consulting and recruitment fees,flights,housing costs etc.) so why would a business incur these costs if they could avoid them by hiring locally?Your article demonstrates no &quot;on-the-ground&quot; knowledge of the TFW program and it's costs and hardships to business turning to this program to get desparately needed workers.Thank goodness for the TFW program where I live.The alternative would mean shuttered business's or at least drastically reduced operating hours and service.And by the way,the TFW's working here are hard-working,great people trying to do a good job and make a life for themselves.They deserve our respect.",{},"Mar 20, 2013",John2525,Yes
22,10012655,source2_10012655_10_0,617226_0,"No one's disrespecting the temporary foreign workers, just the programme itself.I'm &quot;on the ground&quot; here in AB and the service industries I see profiting from TFW are the fast food franchises - Tim Hortons, Subway etc.There are charges of abuse as many of these TFWs are living in houses provided by the owners of the franchises in which they work - for considerable rent.And there are other problems which I 'm sure you see if you are indeed &quot;on the ground&quot; as well.",{},"Mar 20, 2013",sirencall,No
23,10012655,source2_10012655_10_1,617226_0," Then pay them the same wages as a Canadian or even more for the inconvenience of having to leave everything behind to come to Canada for 4 years..,,,but don 't shed crocodile tears when the only reason that they are in Canada is because they are legally paid 5-15% lesss.Where is the free market? If too many jobs in Alberta service industries are going unfilled, then perhaps they should raise the wages until the jobs are filled!That is supply and demand...",{},"Mar 20, 2013",tempsperdue,No
24,10012655,source2_10012655_10_2,617226_0, @ Temper...Exactly right. Funny how the &quot;free&quot; market is not OK in this situation. So &quot;not OK&quot; that corps lobbied the &quot;Harper Government&quot; to create a policy to circumvent the free market. How f@#ked is that?The Harper govt must go.,{},"Mar 20, 2013",curtangst,No
25,10012655,source2_10012655_10_3,617226_0," The costs of bringing in a TFW are minor compared to the extra $10,000 to $100,000 per year profits you can make off of each one.Remember, there are economies of scale here. You don't do a separate set of job postings for each position, it is do one set of ads and you are good for the year.So $1,000 in advertising expenses. The flight is $1,000. But then you can put 4 people in a room and charge each $500 a month in rent -- another revenue source you would not have with a Canadian.As tempsperdue says, allow the law of supply and demand to work for Canadians.Allow wages to go up to their natural levels.Only bring in TFWs for jobs lasting less than 6 months or requiring more than 3 months re-training.",{},"Mar 20, 2013",VertKnight,No
26,10012655,source2_10012655_10_4,617226_0, Too effin' bad if the local businessman can't find anyone to staff his franchise for minimum wage.That just tells us that his business plan isn't viable.We shouldn't have to sacrifice our national character and give away our land for the wealthy few to get return on investments.,{},"Mar 20, 2013",Seedy How,No
27,10012655,source2_10012655_10_5,617226_0," with an unemployment rate of 7% it just means the wages being offered are to low, also what is the justification for getting in Indians to do IT ? Why are IT wages less then 20 years ago...?",{},"Mar 22, 2013",stono,No
28,10012655,source2_10012655_11,102196_0,"By law, employers can pay them five to 15 per cent less than Canadians. That is because, in theory, there are no locals available to fill these jobs.----------------------------------------------------------------How does the second sentence logically follow from the first?Furthermore, how is a four year limit on foreign workers called &quot;temporary&quot;?It's cruel exploitation of foreign workers.Immigration is one of the worst swindles in history.Plundering Third World nations of their professionals, falsely promising them accreditation, paying them lower wages, pitting them against locals in a race to the bottom, stirring up conflict among the working classes, burying native Canadians under a deluge of immigrants that destroys communities, working class solidarity and Canadian values.",{},"Mar 21, 2013",The Work Farce,No
29,10012655,source2_10012655_12,191733_0,"This is just &quot;offshoring&quot; in reverse as well as union busting. Say goodbye to the things unions got us like annual 2 week paid vacations, paid stat holidays,weekends, 40hr workweeks and eventually all benefits. Just remember all this s--t come next election.",{},"Mar 24, 2013",stueegee,No
30,10012655,source2_10012655_13,241935_0,"1. There should be a surcharge tax on all work permit workers, the proceeds of which go to train Canadians.2. If someone is in Canada doing a skilled job for 24 months in any three year period they should automatically be converted to landed immigrant status.What happens in the USA is employers import people on work permits and treat them like slaves. They love green cards because the employee is bound to them. Loose your job and be kicked out of the country.A good way to extract free overtime, even if the person does know their human rights.In the USA you can stay 7 years on a work permit (this may be a bit out of date). So employers will hold out the promise of a green card for those 7 years, but when they are up they ship the person back to Indian or wherever.The last thing those employers want is another person with the skills living in the USA creating competition for their imported guys.",{},"Mar 20, 2013",VertKnight,No
31,10012655,source2_10012655_14,883185_0,"So someone advertises for a nanny at $11 an hour and no one takes it because nannies charge $20 an hour in Canada. Therefore a foreign one comes in, takes the job for $11, sends most of the money &quot;home&quot; which is used to buy things back in the old country and contributes negatively to Canada's balance of trade.The person employing the nanny is working for a full Canadian wage, but yet not willing to pay a full Canadian wage to their employee.....hypocritical at best. This type of thing should not happen. Oh...also, the &quot;discount&quot; nanny gets a fast track to permanent resident/family immigration, etc.Our country is giving up a lot in order for someone to save $9 an hour on their nanny.",{},"Mar 20, 2013",B_.,Yes
32,10012655,source2_10012655_14_0,883185_0,Our heritage is being given away as the major portion of the compensation package that the nanny-employer doesn't want to pay.When were Canadians given an informed referendum on giving away citizenships so cheaply?,{},"Mar 20, 2013",Seedy How,No
33,10012655,source2_10012655_14_1,883185_0," Not only that, but these people's children are effectively raised and brought up by these foreign nannies....however loving they may be, is that what parents want? Again, think of the LT consequences.",{},"Mar 21, 2013",Aniechka,No
34,10012655,source2_10012655_14_2,883185_0," A proposition for you, Aniechka, old chum.Dispite the natural filth of our pathetic (presumably Cockney) nanny, I'll wager that I can pass her off as a duchess at the ambassador's garden party within a fortnight! What have you?",{},"Mar 21, 2013",Felix Wilcox,No
35,10012655,source2_10012655_15,271231_0,"I work in IT, one of the industries where we supposedly need guest workers because of the lack of skilled Canadians.In many cases there are skilled Canadians. What employers do is tell bureaucrats that there are no Canadians who know version 7 of &quot;X&quot; programming language and that version 6 is totally different.Or they'll say that X programming language is totally different than Y and people cannot be retrained.Basically they're going for the lower wages and unpaid overtime you can get out of people who have no idea of what human rights are.It is a warm body, and even if that body works 10 hours to be 50% less productive than an available Canadian, they can still bill the client 100% of the billing rate for all the hours worked.",{},"Mar 20, 2013",VertKnight,No
36,10012655,source2_10012655_16,219251_0,"No sense playing games with words. The temporary foreign worker program is the same as the European guest worker program, except worse. The Europeans had a genuine worker shortage in the last decades of the last century. We do not have a worker shortage so much as a demand by employers to have access to cheap and dependable workers. They are dependable because they can not search for another job with better pay or working conditions. Why can we not let the market do its work? It will discover the proper wage for a greenhouse and Tim Hortons worker.",{},"Mar 21, 2013",Rick Taves1,No
37,10012655,source2_10012655_17,017593_0,Hmmm. I don't recall this being part of the Conservative election platform.Wonder why...,{},"Mar 21, 2013",M_G,Yes
38,10012655,source2_10012655_17_0,017593_0,"No political party wants a public debate on immigration.It's a thing that impacts every facet of our lives, but they want to keep immigration policy-making behind closed doors.",{},"Mar 21, 2013",Seedy How,No
39,10012655,source2_10012655_18,551230_0,"I think the program needs some work and probably some very costly oversight to prevent human rights abuses according to this report from the Canadian Labour Congress:&quot;Canada's Temporary Foreign Worker Program is far from being a modelinitiative. Given the experiences of the Canadian labour movement, it isabundantly clear that the program's design permits the exploitation ofmigrant workers. It operates to serve employers' interests with littlemeaningful regard for compliance, monitoring, or enforcement of nationalor subnational labour standards.&quot;www.canadianlabour.ca/sites/default/files/pdfs/model-program-or-mistake-2011-en.pdf",{},"Mar 25, 2013",modoglobe,No
40,10012655,source2_10012655_19,991183_0,"There will never be any reason or any excuse for the existence of a temporary foreign worker program in Canada. The first mandate of the federal government is to promote the well-being of the Canadian people, both in the short term and the long term.The only long term effects of a TFW program will be:Lower average wagesReduce the wage multiplier effectEliminate training and professional growth opportunities for youthCreate an underground of illegal workersIncrease social costs to CanadiansI have always been a PC supporter, but this TFW program strikes me as criminally insane. It should not be modified or changed or improved. It should be ELIMINATED, immediately.",{},"Mar 21, 2013",OldCdn,Yes
41,10012655,source2_10012655_19_0,991183_0,"TFWs have a place in the economy. Most Canadians would not leave home to live on-site at the farm in order to pick vegetables. This is a good TFW job in seasonal work.TFWs should not be employed in towns and cities, preparing food or doing landscaping or construction.",{},"Mar 22, 2013",Seedy How,No
42,10012655,source2_10012655_20,686896_0,"TFWs have a place in the economy.Most Canadians would not leave home to live on-site at the farm in order to pick vegetables. This is a good TFW job in seasonal work. The added benefit is that they have limited interaction with residents of this country.TFWs should not be employed in towns and cities, preparing food or doing landscaping or construction. These zones should be governed by the rules of the market - if they can't find workers at the remuneration they are offering, then they should close.",{},"Mar 22, 2013",Seedy How,No
43,10012655,source2_10012655_21,611169_0,"As the neocons would like to say, we could put a price on every stream and every unspoiled space in this country, after all, they are 'underperforming' if they're not being exploited to earn money.Mass immigration is just like throwing logs on a bonfire to quickly heat the economy. Next year you'll need just as many. It's a Ponzi scheme for the wealthy.Economic aggrandizement is not the highest purpose in life. Our purpose is to honour the legacy of our forefathers, who sacrificed to build this land and give us so much.",{},"Mar 20, 2013",Seedy How,No
44,10015757,source2_10015757_0,702640_0,"I think it's basically right that the EU demands $6-billion contribution from Cyprus for a further $12-billion bailout of Cyprus's banks, financial system, and its entire low-tax economy. The EU bailout should also come with strings attached, such as Cyprus's entire financial system is brought under proper control, and Cyprus as a tax-haven for foreigners should be discontinued.On the news today I learned that there's 60,000 UK pensioners living in Cyprus. Many of those pensioners are upset that they could lose 3%-10% of their savings in Cypriot banks. One UK pensioner on BBC World News wants Cyprus to leave the EU and go back to the Cypriot pound. That made me laugh. If that happens the Cypriot pound will be devalued at least 90% and all those UK pensioners will therefore lose 90% of their savings as opposed to 2%-3% for the majority of them (now they're talking 0% for savings less than EUR100,000).The other thing I learned in the news was that these UK pensioners who have enjoyed very low taxes in Cyprus for years were also able to claim the UK home heating winter fuel allowance even though they're living in Cyprus!That's nice considering Cyprus is a cool 20 Celsius in January.At least I'm glad the EU is clamping down on these jurisdictions that spell trouble for everyone with their low taxes, laws enabling tax avoidance/evasion, and their generally under-regulated banking and financial systems taking advantage of the $euro currency and laundering dirty money from dodgy business.",{},"Mar 22, 2013",Richard231,No
45,10015757,source2_10015757_1,620127_0,Fire up the printing presses. The global shortage of new money to cover old debts is reaching its final stage.Pass the popcorn.,{},"Mar 20, 2013",Seedy How,No
46,10015757,source2_10015757_2,815878_0,"As one analyst puts it - and I totally agree with him:-&quot;The message is crystal clear - your economic model has to change. They will no longer accept the idea of a national economy within the eurozone that is dependent on its reputation as an offshore tax haven.&quot;&quot;There is huge irritation with the way the Cypriots have handled things, and that has led to the imposition of deadlines which mean big decisions need to be taken very quickly.&quot;&quot;The cost of cleaning up the Cypriot banking system must be borne by investors in the Cypriot banking system - like it or lump it.&quot;",{},"Mar 22, 2013",Richard231,No
47,10019010,source2_10019010_0,735178_0,"&quot;Harper plays a shell game by downloading the financial pain to the Provinces, and then &quot;blames&quot; the Provinces for mismanaging their economies.&quot; according to K Wright.I am pretty sure that is a similar comment on Paul Martin's budget strategy, were you as concerned at that point? He was quite proud of eliminating the deficit, however, it was also partly due to restriction of EI payments and subsequent transfer of EI surplus to the general ledgers and by reducing the payments to the provinces for Health and other services funded by the feds.",{},"Mar 21, 2013",Doug Lippay,Yes
48,10019010,source2_10019010_0_0,735178_0,"At least Martin had budget surpluses year after year. The only surpuses Harper had were the residual effects from the Martin years. He squandered all that extra cash. We may have gotten a break on the GST, but our children will pay for it.",{},"Mar 21, 2013",C.C.,No
49,10019010,source2_10019010_0_1,735178_0," Remember ... Martin left a surplus, and Harpo and Flapper ruined it.",{},"Mar 21, 2013",I do not like them Sam I Am,No
50,10019010,source2_10019010_1,535841_0,"Health care is a fat cow that must be trimmed constantly. The feds will force that, which is a good thing.",{},"Mar 21, 2013",GBC1,No
51,10019010,source2_10019010_2,358761_0,Screw the provinces. Isn't that what Harper and Flaherty accused the Chretien/Martin Liberals of doing?,{},"Mar 21, 2013",DJay,Yes
52,10019010,source2_10019010_2_0,358761_0,"No, that was left historians and newspaper columnists.",{},"Mar 21, 2013",Lousy Investor,No
53,10019010,source2_10019010_3,305539_0,"This budget reflects the ideology of the Conservative Party. The idea that the federal government has an important role to play in keeping Canada together and assisting Canadians across the board is completely alien to them. Instead, they pursue a twisted vision of &quot;provincilal rights&quot; which means, essentially, that standards of living across Canada will depend entirely on the present wherewithal of the province a person happens to live in. Provinces that have the ability to raise taxes and other revenue to make up for federal shortfalls will do well; those that don't will suffer, and the dynamic making people leave them for greener pastures will accelerate. In the meantime, the federal government keeps cutting taxes, increasing the disparites of wealth between the haves and have nots. Worrying about a federal deficit in the middle of a recession is abysmally stupid, but it fits right into the ideology. Let's not kid ourselves about the CP being &quot;moderates&quot; or not having a &quot;hidden agenda.&quot; The difference today is that the agenda is no longer hidden. It's pretty obvious, if one just looks closely. (John Ibbitson might want to try this).",{},"Mar 21, 2013",shaunnarine1,No
54,10019010,source2_10019010_4,451767_0,"A flawed assumption in most of these arguments is that seniors will not move to other provinces. So if Atlantic Canadian seniors cannot get timely health services in their home province, they, too, will move West and burden those provinces.The idea that populations are static is false. They are only static now because Federal transfers keep people in ageing, mostly rural areas. one those transfers are cut, the people will not necessarily stay. Alberta will inherit a LOT of older Eastern Canadians needing senior care. Once the support for them to stay is removed, they, like their children, will &quot;go down the road to the West&quot;.",{},"Mar 21, 2013",H Halifax,No
55,10019010,source2_10019010_5,008364_0,".Flaherty's house is in order, but the provinces will payWell, that is probably a fair assessment of the fed/provincial budget economicsWe/Canada can sustain a 600 billion dollar debt, as well, if Flaherty's #'s are correct, we should be in a positive/surplus budget scenario by 2015/16. The problem being; the provinces are left alone to do the heavy lifting on the one and MAJOR expenditure which will affect provincial budgets for many years if not decades to come;Healthcare espendituresUnless we as a nation &quot;sit down&quot; and initiate a meaningful discussion on healthcare and sharing of resources between the provinces (IE; cooperation) the provinces will have a very difficult time in balancing their respective budgets.It is really as simple as that..",{},"Mar 21, 2013",Canada1,No
56,10019010,source2_10019010_6,193015_0,"Asinine. The feds transferring money to provinces and anybody else they want to transfer money to.Provinces and lower levels of government need the taxing powers commensurate with their responsibilities. Ditto for the feds. NO transfer of funds between levels of government. The current system allows the feds to blame the provinces for not meeting their responsibilities and the provinces of course respond with lack of transfer of funds from the feds. John Baird, MP for a section of Ottawa determines whether Ottawa will have light rail for example. No responsibility whatever but the power to cancel through funding.And while we are amending the constitution to fix that we can amend the Charter so police cannot violate with impunity. For example breathalyzer tests on an Arnprior dentist were withdrawn because a police officer had not acted in a timely manner in laying charges. The officer violated the Charter and does not face charges. I am proposing that there be a law against stealing but no penalty for stealing.OOOps. Our Constitution needs to be amended so that taxing powers are commensurate with responsibilities at each layer of government.",{},"Mar 21, 2013",Art Campbell,No
57,10019010,source2_10019010_7,518104_0,"It's in the math.There are insufficient funds coming into the treasury to cover the cost of programs. This is because the revenue has been slashed for short term gain creating a deficit circumstance; this government has engaged in frivolous, non-strategic spending commitments that have accelaerated the drainage of limited funds, and the US economy has still shown no realistic signs of a rapid recovery.Growing the economy and tax cuts for the wealthy have been found to be lacking credibility as economic stimulants since Reagan proposed &quot;trickle down economics&quot;, or perhaps more accurately, &quot;Voodoo economics.&quot;In their first year or so in office, the CP of C has undone ten years of Liberal efforts to wrestle the deficit and national debt under control; if they think they can get it back within the next three years, they are dreaming in Technicolor. Their record in Ontario should have been an omen.The house is not in order; the tax payer will pay no matter what province he/she lives in.",{},"Mar 21, 2013",vincentr,Yes
58,10019010,source2_10019010_7_0,518104_0,"The biggest one to be cut, or should be cut is the tax credit. Billions of dollars to millions of Canadians at a cost to.... mllions of Canadians. All i the nt poor section of Canadians. Read Lower Tax Guide - a guide to selfishness,",{},"Mar 21, 2013",Art Campbell,No
59,10019010,source2_10019010_8,133718_0,Hollowing out Canada of all industries except Bitumen Bubble and Housing Bubble.That is the legacy of Stephen Harper.It doesn't matter how you spin the rest of the story.,{},"Mar 21, 2013",Just In I Can't be Snowed,No
60,10019010,source2_10019010_9,717016_0,"Pathological Flaherty bashing aside, it is the provinces that do the heavy lifting on the big ticket items, health care and education, and the feds intervening simply leads to duplication and waste.The two point cut in the HST gave the provinces room to raise taxes, which most of them did.At the end of the day, there are limits to what the feds can do.",{},"Mar 21, 2013",keller204,No
61,10019010,source2_10019010_10,626809_0,"I'm sorry but what about this is a surprise? With Jim Flaherty, it's always been about someone else paying for hist 'vision. One only needs to look at his term as Finance Minister in Mike Harris' laughably-named &quot;Common Sense Revolution&quot; with its massive downloading of costs onto cities to see how Jimmy (in his eyes anyway) gets himself out of a pinch and claims 'success'.He's a tool, truly and a pox on the fools who knew better and voted for the Tories.",{},"Mar 21, 2013",Joseph_Willcawks,Yes
62,10019010,source2_10019010_10_0,626809_0,"Joseph_Willcawks writes: &quot;With Jim Flaherty, it's always been about someone else paying for hist 'vision.&quot;====================Wait... so by *NOT* having the Federal government paying for Provincial responsibilities Flaherty is looking for someone else to pay for his vision?Isn't the problem really that the Provinces are looking for the Feds to pay for THEIR vision?Besides, no downloading is occurring at all. The Federal government is sending more money to the Provinces than ever before, so the entire basis of this article is based on a totally incorrect assumption. The issue has *NOTHING* to do with reducing Federal transfer payments and everything to do with increased spending at the Provincial level.To put this in perspective, if health care costs doubled tomorrow the author of this article would be SCREAMING at the Federal government for cutting transfer payments in half.",{},"Mar 21, 2013",Tony .,No
63,10019010,source2_10019010_11,248348_0,"From the article: &quot;One reason provincial finances are so bleak relates to declining federal transfer payments.&quot;================This is straight up, 100% *WRONG*Federal transfer payments are *NOT* declining in any way, shape or form. They are increasing not only in terms of inflation-adjusted dollars, but they are increasing as a percentage of GDP. Every year the Federal government transfers a larger and larger portion of the entire Canadian economy to Provincial governments in order to spend.The issue is *NOT* that transfer payments are declining, but rather that costs are rising out of control! And why shouldn't they? After all, the Provinces can just whine and complain to the Federal government about &quot;declining transfer payments&quot;. Why should they bother being accountable when it is MUCH easier, politically speaking, to just beg for money handouts from another government and force that other government to take the money from citizens via taxation.",{},"Mar 21, 2013",Tony .,No
64,10019010,source2_10019010_12,890690_0,"Having one government tax us just so that they can turn around and give the money to another government to spend is about the stupidest thing we do in Canada.If Health Care is supposed to be a Provincial responsibility than let the Provinces take care of it! We should eliminate 100% of the health care transfer payments from the Federal government to the Provincial government, cut Federal taxes and raise Provincial taxes and be done with it.Alternatively make Health Care a Federal responsibility and have the Federal government collect the tax dollars to pay for it and operate the program in it's entirety. After all, does someone living in Charlottetown really have that different of health care needs from someone living in Sudbury? Or Winnipeg? Or Iqaluit?Having one government collect the money and another government spend the money removes the most fundamental of all financial concepts: Obtaining value for money. Why should the Provinces seek to provide effective services for the tax dollars they raise if they can just whine and beg the Federal government for more and more money?",{},"Mar 21, 2013",Tony .,Yes
65,10019010,source2_10019010_12_0,890690_0,".Tony.........Healthcare spending in Canada (2012) was close to 200 billion dollars (public and private). Of that 200 billion the Feds put up 24 billion in transfers, that # is to sink to approximately as a percentage of overall healthcare spending by 2018The problem being; The Feds are suppose to enforce equal healthcare services across Canada as clearly stipulated in the Canada Health Act.Will they give up this power/jurisdiction any-time soon?No way..",{},"Mar 21, 2013",Canada1,No
66,10019010,source2_10019010_12_1,890690_0," Tony .10:00 AM on March 21, 2013As you say health care is supposed to be a provincial responsibility. It was taken over by the feds by blackmail - join the federal scheme or you don't get any federal money. This was challenged by the Canadian Medical Association. After about 2 years it quietly withdrew the suit. A common practice with unions dealing with government.So our constitution does not mean a thing. Might is right. The feds can take over anything it wants since it has the taxing powers.The best thing that could happen for the standard of health care in Canada and for the deficit is to have health care in the private sector.",{},"Mar 21, 2013",Art Campbell,No
67,10019010,source2_10019010_12_2,890690_0," Canada1, I realize that health care costs are expanding *VASTLY* in excess of our ability to pay for them. That much has been clear for almost a decade now. Every year health care eats up a bigger and bigger portion of our economy and that simply can't go on forever. Granted we're hardly alone here, virtually every developed country is facing the same scenario.However that doesn't take away from the basic problem in Canada: We have the Provinces unwilling to give up Federal funding or control of health care. We have the Federal government unwilling to increase funding or give up their portion of control. Two levels of government fighting over their little fiefdom while us taxpayers spend money to cover all the waste that this involves.My personally preference would be to have health care fully moved up to the Federal level. Right now we have 11 different health care systems in this country. Why?!?! Much larger and more diverse countries than ourselves have unified health care systems.",{},"Mar 21, 2013",Tony .,No
68,10019010,source2_10019010_13,463412_0,"The provinces are fiscal bad boys.Chretien and Martin were correct in cutting their transfers.There is a problem or risk though. If the poor provinces or Quebec get too annoyed, they start getting geo-political. This is where we run into problems.",{},"Mar 21, 2013",ManCityFC,No
