,article_id,comment_counter,comment_id,text,reactions,post_time,author,replies,text_preprocessed
21,14513047,source2_14513047_3,648106_0,"I've seen detailed research that says that if there is a growing and healthy middle class in a society, then low income people are able to move out of poverty more easily. There are several great causes for poverty, I am not an expert, but I would say health issues play prominently with a person's chance of getting out of poverty. I am talking about physical and mental health causes. But most people might say that health issues especially are not being adequately addressed by key players in society. And the reasons are quite clear. Since people with mental health issues have a stigma associated with them, and people in the elite and in a position to make a difference don't care that much about the issues, nothing really gets done there. It's as simple as that. And you can have one big physical health issue and your ability to work and income that goes with it is suddenly cut. These are the some of the issues that cause poverty, in addition to those old standbys; abuse, neglect and ignorance.",{},"Sep 25, 2013",dazzer,No,"I've seen detailed research that says that if there is a growing and healthy middle class in a society, then low income people are able to move out of poverty more easily. There are several great causes for poverty, I am not an expert, but I would say health issues play prominently with a person's chance of getting out of poverty. I am talking about physical and mental health causes. But most people might say that health issues especially are not being adequately addressed by key players in society. And the reasons are quite clear. Since people with mental health issues have a stigma associated with them, and people in the elite and in a position to make a difference don't care that much about the issues, nothing really gets done there. It's as simple as that. And you can have one big physical health issue and your ability to work and income that goes with it is suddenly cut. These are the some of the issues that cause poverty, in addition to those old standbys; abuse, neglect and ignorance."
22,14513047,source2_14513047_4,029652_0,"A rather meandering, directionless recitation of stats. Simpson states &quot;The poorest Canadians are, in hard fact, the ones who need government help the most.&quot; Then he recites statistics showing they in fact get the most help. And much of that help comes from income redistribution from the &quot;rich&quot;. Poor is a relative term and does not necessarily mean living in poverty. The proliferation of satellite dishes on the balconies of public housing buildings is telling.",{},"Sep 25, 2013",Glenn Fiddich,Yes,"A rather meandering, directionless recitation of stats. Simpson states ""The poorest Canadians are, in hard fact, the ones who need government help the most."" Then he recites statistics showing they in fact get the most help. And much of that help comes from income redistribution from the ""rich"". Poor is a relative term and does not necessarily mean living in poverty. The proliferation of satellite dishes on the balconies of public housing buildings is telling."
23,14513047,source2_14513047_4_0,029652_0,If the poor are so much better off today why at the same time that personal income tax rates have been decreased employment insurance and welfare rates have either been reduced for frozen for so long. I hardly think the poor are better off today because there are satellite dishes on public housing buildings.,{},"Sep 25, 2013",J. K. Galbraith,No,If the poor are so much better off today why at the same time that personal income tax rates have been decreased employment insurance and welfare rates have either been reduced for frozen for so long. I hardly think the poor are better off today because there are satellite dishes on public housing buildings.
24,14513047,source2_14513047_5,695979_0,"I love the line we want to tax corporations rather than tax people. How dumb are we, adding taxes on corporations will be passed on to the cost of goods and paid for by all of us.If a politician says he is going to tax gasoline we will all be up in arms. If he says he is going to tax oil companies profits we cheer. Sorry for the bad news but it is the same thing, just one is added at the end and the other is buried in the cost.",{},"Sep 25, 2013",Beach41,Yes,"I love the line we want to tax corporations rather than tax people. How dumb are we, adding taxes on corporations will be passed on to the cost of goods and paid for by all of us.If a politician says he is going to tax gasoline we will all be up in arms. If he says he is going to tax oil companies profits we cheer. Sorry for the bad news but it is the same thing, just one is added at the end and the other is buried in the cost."
25,14513047,source2_14513047_5_0,695979_0,"It was funny when Jean Charest added an other tax on Oil Cos here in Quebec - we trust they wont pass this on to consumers. First day, up goes the price of gas.",{},"Sep 25, 2013",Just call me Nemo,No,"It was funny when Jean Charest added an other tax on Oil Cos here in Quebec - we trust they wont pass this on to consumers. First day, up goes the price of gas."
26,14513047,source2_14513047_6,656367_0,"This is quite the article from Simpson. I expect Jeff is doing very well for himself, and no doubt pays his fair share of taxes. However, given his suggestion more needs to be done. If he gives over half his income to charity I'd be more inclined to cut him some slack. It's not just a question of more money. Literally billions were donated to Haiti after their last disaster, yet it appears to have had much less impact than it should have. Likely because as the money flows far to many people siphoned much of it away from its intended purpose to their own pockets. There is a balance between what society can and should do for the &quot;poor&quot;, and what the poor in affluent countries need to do for themselves. I don't know that JS, nor most governments (federal, provincial, municipal) have yet to find the correct balance. Jeff adds little value, telling us what we already know, yet offering no concrete suggestions.",{},"Sep 25, 2013",S TW Ottawa,No,"This is quite the article from Simpson. I expect Jeff is doing very well for himself, and no doubt pays his fair share of taxes. However, given his suggestion more needs to be done. If he gives over half his income to charity I'd be more inclined to cut him some slack. It's not just a question of more money. Literally billions were donated to Haiti after their last disaster, yet it appears to have had much less impact than it should have. Likely because as the money flows far to many people siphoned much of it away from its intended purpose to their own pockets. There is a balance between what society can and should do for the ""poor"", and what the poor in affluent countries need to do for themselves. I don't know that JS, nor most governments (federal, provincial, municipal) have yet to find the correct balance. Jeff adds little value, telling us what we already know, yet offering no concrete suggestions."
27,14513047,source2_14513047_7,333427_0,"The poor should be pulled up rather than the rich pulled down.Reagan was right in saying that if poverty and dependency is sibsisidized there is more of it.Having been poor, I didn't like it at all...I was helped up...god knows what my fate would have been had my poverty been subsidized.The middle class represent the future...the aristocrats and ubber rich, the past.",{},"Sep 25, 2013",Ascalepius,Yes,"The poor should be pulled up rather than the rich pulled down. Reagan was right in saying that if poverty and dependency is sibsisidized there is more of it.Having been poor, I didn't like it at all...I was helped up...god knows what my fate would have been had my poverty been subsidized. The middle class represent the future...the aristocrats and rubber rich, the past."
28,14513047,source2_14513047_7_0,333427_0,"I'm not sure what you think the difference is between &quot;subsidy&quot; and &quot;help&quot;, but I assure you it is not as well-defined as you imply. Also, are you suggesting that others DO like being poor?",{},"Sep 25, 2013",LazarusLoafer,No,"I'm not sure what you think the difference is between ""subsidy"" and ""help"", but I assure you it is not as well-defined as you imply. Also, are you suggesting that others DO like being poor?"
29,14513047,source2_14513047_7_1,333427_0, The current mess can be traced back directly to Reagan's myth of &quot;trickle down&quot; economics.,{},"Sep 25, 2013",MVP10,No,"The current mess can be traced back directly to Reagan's myth of ""trickle down"" economics."
30,14513047,source2_14513047_7_2,333427_0," Help is not a subsidy.In my case, having arrived in the UK as a DP, an old lady who knew the educational system helped me to navigate it...which exams to try , which scholarships to apply for.Her guidance was worth its weight in gold and for which I am eternally grateful for.Being penniless has its virtues, it concentrates the mind...if the state offered me unlimited quantities of lager instead, I could not have made it.",{},"Sep 25, 2013",Ascalepius,No,"Help is not a subsidy. In my case, having arrived in the UK as a DP, an old lady who knew the educational system helped me to navigate it...which exams to try , which scholarships to apply for. Her guidance was worth its weight in gold and for which I am eternally grateful for. Being penniless has its virtues, it concentrates the mind...if the state offered me unlimited quantities of lager instead, I could not have made it."
31,14513047,source2_14513047_7_3,333427_0," @Lazarus...By the sounds of it, Ascalepius was inferring that there are those that 'make' a living off Welfare etc.There is!Sometimes those making a living off Welfare, need a nudge/assistance to get them Off Welfare.Correct me if I'm wrong.",{},"Sep 25, 2013",chiapetthewise,No,"@Lazarus...By the sounds of it, A scale pius was inferring that there are those that 'make' a living off Welfare etc. There is!Sometimes those making a living off Welfare, need a nudge/assistance to get them Off Welfare. Correct me if I'm wrong."
32,14513047,source2_14513047_7_4,333427_0," Particularly those lazy kids eh...nudge, nudge.It would seem you are not about to commit sociology or history and come to a conclusion about the nature of poverty outside of Biblical assessment or Orphan Annie experience .",{},"Sep 25, 2013",George Victor 1,No,"Particularly those lazy kids eh...nudge, nudge. It would seem you are not about to commit sociology or history and come to a conclusion about the nature of poverty outside of Biblical assessment or Orphan Annie experience ."
33,14513047,source2_14513047_8,037811_0,"Ever increasing tax cuts and credits, benefitting mainly the wealthy, over the last twenty years has contributed to the decimation of the middle class. Increasing income disparity and decreasing levels of equal opportunity are also the consequences of this misguided and repugnant policy.",{},"Sep 25, 2013",River City,No,"Ever increasing tax cuts and credits, benefitting mainly the wealthy, over the last twenty years has contributed to the decimation of the middle class. Increasing income disparity and decreasing levels of equal opportunity are also the consequences of this misguided and repugnant policy."
34,14513047,source2_14513047_9,784044_0,The Harper gang believes in the Republican brand of economics that tends to favour the rich and turn the middle class into poor people.,{},"Sep 25, 2013",MVP10,No,The Harper gang believes in the Republican brand of economics that tends to favour the rich and turn the middle class into poor people.
35,14513047,source2_14513047_10,835286_0,In all this talk about &quot;class&quot; - whatever happened to the &quot;working class&quot;?,{},"Sep 25, 2013",spectator3,Yes,"In all this talk about ""class"" - whatever happened to the ""working class""?"
36,14513047,source2_14513047_10_0,835286_0,"They're being replaced by machines. Well, at least their work is. Their purchasing power isn't, and that's a significant problem for others to worry about sometime in the future.",{},"Sep 25, 2013",TiuLeek,No,"They're being replaced by machines. Well, at least their work is. Their purchasing power isn't, and that's a significant problem for others to worry about sometime in the future."
37,14513047,source2_14513047_10_1,835286_0, @TiuLeek i hope that when you say &quot;others&quot; and &quot;the future&quot; you mean &quot;everyone&quot; and &quot;now&quot;,{},"Sep 25, 2013",LazarusLoafer,No,"@TiuLeek i hope that when you say ""others"" and ""the future"" you mean ""everyone"" and ""now"""
38,14513047,source2_14513047_10_2,835286_0," Middle class is a term used by politicians and too many organized labour leaders.It's used to divide and confuse workers into believing that they are not &quot;working class&quot; i.e. they are better than that because they have a house, a car or two, etc.Ones class is not determined by ownership of things but by ones relationship to the means of production.",{},"Sep 25, 2013",YYZ,No,"Middle class is a term used by politicians and too many organized labour leaders. It's used to divide and confuse workers into believing that they are not ""working class"" i.e. they are better than that because they have a house, a car or two, etc. Ones class is not determined by ownership of things but by ones relationship to the means of production."
39,14513047,source2_14513047_11,212278_0,"The last 50 years of Canadian history has been lead and dominated mostly by people who consider themselves liberals or socialists, and most of those have been and/or are in the media - which is why they went to journalism school in the first place. Yet, for all their concern about &quot;the poor,&quot; there is zero expression about, or by, working class people in national media. The poor are regarded as some foreign species to be pitied, needy peasants unworthy of having opinions, with lives too painfully dull for exposure or examination.The middle class, by comparison, inherit homes, cottages, education, money, jobs, etc. etc.. Their concern for the less fortunate contains a significant amount of guilt, which does nothing to help them relate to the underclasses.",{},"Sep 25, 2013",David Gibson,Yes,"The last 50 years of Canadian history has been lead and dominated mostly by people who consider themselves liberals or socialists, and most of those have been and/or are in the media - which is why they went to journalism school in the first place. Yet, for all their concern about ""the poor,"" there is zero expression about, or by, working class people in national media. The poor are regarded as some foreign species to be pitied, needy peasants unworthy of having opinions, with lives too painfully dull for exposure or examination. The middle class, by comparison, inherit homes, cottages, education, money, jobs, etc. etc.. Their concern for the less fortunate contains a significant amount of guilt, which does nothing to help them relate to the underclasses."
40,14513047,source2_14513047_11_0,212278_0,One suspects that those depending on inheritances to bail them out will be disappointed.,{},"Sep 26, 2013",Ascalepius,No,One suspects that those depending on inheritances to bail them out will be disappointed.
41,14513047,source2_14513047_12,145753_0,"&quot;The rich, whatever that means...&quot;It means the elite, Mr Simpson. Those who actually run societies, and whose views are often trumpeted on their behalf by others.For example, the Thomson family. Owners of the Globe and Mail.",{},"Sep 25, 2013",TiuLeek,Yes,"""The rich, whatever that means...""It means the elite, Mr Simpson. Those who actually run societies, and whose views are often trumpeted on their behalf by others. For example, the Thomson family. Owners of the Globe and Mail."
42,14513047,source2_14513047_12_0,145753_0,"and this is not the 1%, maybe.01%.",{},"Sep 25, 2013",Beach41,No,"and this is not the 1%, maybe. 01%."
43,14513047,source2_14513047_12_1,145753_0," Spot on, TL. Mr. Simpson is disparaging of the concern for a disappearing middle class: &quot;But the middle class, however defined, is the Holy Grail for the Conservatives, NDP and Liberals,&quot; even while purposely neglecting to tell us why politicians of all parties would pursue this course.The folks in Karl Marx' famous &quot;lumpen prole&quot; category, the marginalized and dispossessed of today, tend not to vote, for one thing. And in saying that they are being ignored in the rush to discuss the fortunes of the middle, our columnist knows very well that anything else does not play well with those who DO turn out to vote, as sympathetic as they may be. Steve knows this, and New Democrats, between that rock of outrage at poverty and the hard place of elections, is learning.No, the rush to consider the middle is to put forward the economic argument that re-building the middle will help to re-build an economy that is now in debt and in the pocket of finance capitalism. And Mr. Simpson won't touch that any more than he'll criticize the Thomson family.",{},"Sep 25, 2013",George Victor 1,No,"Spot on, TL. Mr. Simpson is disparaging of the concern for a disappearing middle class: ""But the middle class, however defined, is the Holy Grail for the Conservatives, NDP and Liberals,"" even while purposely neglecting to tell us why politicians of all parties would pursue this course. The folks in Karl Marx' famous ""lumpen prole"" category, the marginalized and dispossessed of today, tend not to vote, for one thing. And in saying that they are being ignored in the rush to discuss the fortunes of the middle, our columnist knows very well that anything else does not play well with those who DO turn out to vote, as sympathetic as they may be. Steve knows this, and New Democrats, between that rock of outrage at poverty and the hard place of elections, is learning. No, the rush to consider the middle is to put forward the economic argument that re-building the middle will help to re-build an economy that is now in debt and in the pocket of finance capitalism. And Mr. Simpson won't touch that any more than he'll criticize the Thomson family."
44,14513047,source2_14513047_12_2,145753_0, Well said RiuLeek,{},"Sep 25, 2013",Barrylane1,No,Well said RiuLeek
45,14513047,source2_14513047_13,559934_0,"This article seems to have missed the boat. The reason all parties are worried about the middle is because they are under severe threat. Our collective future rests with a stable and prosperous middle class.The globally integrated economy has put very real pressures on businesses to cut costs in order to compete. This is not news, the impacts however, are becoming more and more noticeable. Recent studies show that the middle class has seen very little in income gains over the past 20 years. The middle class in Europe is under threat. The loss of the manufacturing sector has eliminated many stable and reasonably well paid jobs. The middle class is very highly indebted. etc.All politicians better pay attention to the middle class. Without the middle class, the bottom 20% will not be looked after at all.",{},"Sep 25, 2013",jaybe,Yes,"This article seems to have missed the boat. The reason all parties are worried about the middle is because they are under severe threat. Our collective future rests with a stable and prosperous middle class. The globally integrated economy has put very real pressures on businesses to cut costs in order to compete. This is not news, the impacts however, are becoming more and more noticeable. Recent studies show that the middle class has seen very little in income gains over the past 20 years. The middle class in Europe is under threat. The loss of the manufacturing sector has eliminated many stable and reasonably well paid jobs. The middle class is very highly indebted. etc. All politicians better pay attention to the middle class. Without the middle class, the bottom 20% will not be looked after at all."
46,14513047,source2_14513047_13_0,559934_0,You sound like Justin Trudeau.,{},"Sep 26, 2013",jaredc,No,You sound like Justin Trudeau.
47,14513047,source2_14513047_14,407165_0,"Part of the reason that so many people identify as 'middle class', at least in Canada, is that progressive taxation has the effect of compacting the range of lifestyles across a fairly broad range of incomes, with exceptions at the extremes.The family with a median income (50th percentile) and a family right at the 1st percentile (the 1% mark) don't live terribly differently. The latter has more choices and opportunities, but they both are net taxpayers, both are more likely to own their own home than not, more likely to send their kids to public school than not, both worry about keeping their jobs, etc.Once you get into the bottom 20% and the top 1%, living conditions of those families change drastically with small changes in income rank. The difference between the 10th percentile and 20th is huge compared to 50th vs 60th. Similarly, the 0.1% live comfortably while the 1.1%er remains a 'battler'. The 0.01% of course live lives that are almost incomprehensible to the rest.",{},"Sep 25, 2013",DollyParker,Yes,"Part of the reason that so many people identify as 'middle class', at least in Canada, is that progressive taxation has the effect of compacting the range of lifestyles across a fairly broad range of incomes, with exceptions at the extremes. The family with a median income (50th percentile) and a family right at the 1st percentile (the 1% mark) don't live terribly differently. The latter has more choices and opportunities, but they both are net taxpayers, both are more likely to own their own home than not, more likely to send their kids to public school than not, both worry about keeping their jobs, etc. Once you get into the bottom 20% and the top 1%, living conditions of those families change drastically with small changes in income rank. The difference between the 10th percentile and 20th is huge compared to 50th vs 60th. Similarly, the 0.1% live comfortably while the 1.1%er remains a 'battler'. The 0.01% of course live lives that are almost incomprehensible to the rest."
48,14513047,source2_14513047_14_0,407165_0,"&quot;but they both are net taxpayers,&quot; You need to be about the top 25% (top quartile) to be a net tax payer",{},"Sep 25, 2013",Just call me Nemo,No,"""but they both are net taxpayers,"" You need to be about the top 25% (top quartile) to be a net tax payer"
49,14513188,source2_14513188_0,038702_0,"The term &quot;Mr. Mayor&quot;, which is nothing more than a double title, is a laugher. We do not address people as &quot;Mr. Doctor&quot;. Yes, the Americans, for some reason, use terms such as &quot;Mr. President&quot;, but they also wanted to form a &quot;more perfect&quot; union.Not sure how something can be more than perfect, but perhaps we should reflect on how we use language, so such absurdities do not happen.",{},"Sep 25, 2013",Welland Public Library,Yes,"The term ""Mr. Mayor"", which is nothing more than a double title, is a laugher. We do not address people as ""Mr. Doctor"". Yes, the Americans, for some reason, use terms such as ""Mr. President"", but they also wanted to form a ""more perfect"" union. Not sure how something can be more than perfect, but perhaps we should reflect on how we use language, so such absurdities do not happen."
50,14513188,source2_14513188_0_0,038702_0,"Speaking of language, what do you mean by &quot;laugher&quot;? I found 2 definitions for this word: 1. One who laughs; 2. An easy victory. You seem to mean something else.",{},"Sep 25, 2013",Cait Beattie,No,"Speaking of language, what do you mean by ""laugher""? I found 2 definitions for this word: 1. One who laughs; 2. An easy victory. You seem to mean something else."
51,14513188,source2_14513188_1,314323_0,"Coderre may be the youngest of the three, but he is also a very old pol, and not above certain suspicions.Bergeron has an excellent team now, and advanced ideas on urbanism. Human-centred and sustainable urbanism is essential to undo the harm caused by sprawl and carcentric planning.",{},"Sep 26, 2013",lagatta4,No,"Coderre may be the youngest of the three, but he is also a very old pol, and not above certain suspicions. Bergeron has an excellent team now, and advanced ideas on urbanism. Human-centred and sustainable urbanism is essential to undo the harm caused by sprawl and car centric planning."
52,14513188,source2_14513188_2,973431_0,"&quot;Monsieur le maire&quot;, in French.",{},"Sep 26, 2013",lagatta4,No,"""Monsieur le maire"", in French."
53,14513188,source2_14513188_3,760296_0,"Met Denis at a lib party in Edmonton, he sure likes to tell jokes. He loves the Montreal Canadiens and I the Oilers, so this is the great divide that comes between us.",{},"Sep 25, 2013",dazzer,Yes,"Met Denis at a lib party in Edmonton, he sure likes to tell jokes. He loves the Montreal Canadiens and I the Oilers, so this is the great divide that comes between us."
54,14513188,source2_14513188_3_0,760296_0,Luckily he is not running for mayor of Edmonton ;-),{},"Sep 25, 2013",Cait Beattie,No,Luckily he is not running for mayor of Edmonton ;-)
55,14513188,source2_14513188_4,912530_0,"Bergeron and Projet Montreal may have &quot;green&quot; motives but as a resident of Projet Montreal controlled Plateau Mont Royal, since the last election, my taxes have gone up, my resident parking permit has doubled in price, the streets are dirtier with less snow removal than other jurisdictions, businesses are going out of business, parking has become a huge problem. Worsdt of all is that the &quot;traffic calming&quot; initiatives of the Projet Montreal government have caused tremendous car congestion and traffic jams where they never existed before. Perhaps some streets are better off but the traffic has just been rerouted to other less fortunate residential streets with the obvious result of cars spewing noise and pollution as they sit stuck in traffic where they used to just flow by. It just didn't work and no amount of calls and letters has budged the administration. It's always the fault of some other administration. I voted for them last time with high hopes. I have seen no indication that they are open to other's ideas suggestions or complaints.",{},"Sep 27, 2013",sam2son,No,"Bergeron and Projet Montreal may have ""green"" motives but as a resident of Projet Montreal controlled Plateau Mont Royal, since the last election, my taxes have gone up, my resident parking permit has doubled in price, the streets are dirtier with less snow removal than other jurisdictions, businesses are going out of business, parking has become a huge problem. Worst of all is that the ""traffic calming"" initiatives of the Projet Montreal government have caused tremendous car congestion and traffic jams where they never existed before. Perhaps some streets are better off but the traffic has just been rerouted to other less fortunate residential streets with the obvious result of cars spewing noise and pollution as they sit stuck in traffic where they used to just flow by. It just didn't work and no amount of calls and letters has budged the administration. It's always the fault of some other administration. I voted for them last time with high hopes. I have seen no indication that they are open to other's ideas suggestions or complaints."
