article_id,author,comment_counter1,comment1,comment_counter2,comment2,weighted_score,token_sort_score
14531691,Ajay6,source1_14531691_4_0,"At this point, I think some thought should be given and some views expressed about the Country's electorate, and especially those of a Conservative persuasion.",source2_14531691_17_0,"At this point, I think some thought should be given and some views expressed about the Country's electorate, and especially those of a Conservative persuasion.",100,100
14531691,hunter2460,source1_14531691_5,'This is not something for which the Canadian taxpayer should be footing the bill.'...add it to the seemingly endless list including the EAP millions & the $120M tar Sandslobbying for Keystone & I'll see you in the poor house...yet some braindead pundits still parrot the PMO crap about being the economic handlers...of course said pundits media bosses are on the take ads wise so there you go,source2_14531691_9,"""This is not something for which the Canadian taxpayer should be footing the bill.""...add it to the seemingly endless list including the EAP millions & the $120M tar Sands lobbying for Keystone & I'll see you in the poor house...yet some braindead pundits still parrot the PMO crap about being the economic handlers...of course said pundits media bosses are on the take ads wise so there you go",100,98
14531691,Not the Alliance,source1_14531691_6,"The bottom line is that Harper and Moore screwed up and are trying to advertise their way out of it.They oversold the prospect of a 'Verizon' entering our market and offering wonderfully inexpensive but fantastic wireless service.    They scared Verizon off because no company (Verizon especially) want to enter a market with expectations that they will be the 'cheap' service.But the worst thing is, the loophole was the result of sloppy legislation which was allowed to stand because Harper saw an opportunity to change the subject (from the Senate scandal).   Had the loophole been closed, and foreign firms allowed to enter (but under the same terms as Canadians at the auction) then NONE of this controversy would have happened.Harper and Moore created their own mess and now they're using TAX DOLLARS to talk their way out of it.",source2_14531691_1,"The bottom line is that Harper and Moore screwed up and are trying to advertise their way out of it.They oversold the prospect of a ""Verizon"" entering our market and offering wonderfully inexpensive but fantastic wireless service. They scared Verizon off because no company (Verizon especially) want to enter a market with expectations that they will be the ""cheap"" service. But the worst thing is, the loophole was the result of sloppy legislation which was allowed to stand because Harper saw an opportunity to change the subject (from the Senate scandal). Had the loophole been closed, and foreign firms allowed to enter (but under the same terms as Canadians at the auction) then NONE of this controversy would have happened. Harper and Moore created their own mess and now they're using TAX DOLLARS to talk their way out of it.",100,100
14531691,fargo121,source1_14531691_7,"Nothing new here.  It is what the Harper Government is.  Can't wait to see how they will use their Economic Action Plan advertising to squirm their way out of all the other messes ongoing on their watch at the present time.  Dig deeper folks, lots more of our money to be spent to cover it up in the months ahead.",source2_14531691_7,"Nothing new here. It is what the Harper Government is. Can't wait to see how they will use their Economic Action Plan advertising to squirm their way out of all the other messes ongoing on their watch at the present time. Dig deeper folks, lots more of our money to be spent to cover it up in the months ahead.",100,100
14531691,tedwilson2,source1_14531691_8,"Boy, that's telling them. A hard hitting blast. ",source2_14531691_0,"Boy, that's telling them. A hard hitting blast.",100,100
14531691,Canadalover1,source1_14531691_9,"Waiting tax payers money by the hundred of millions for partisan purposes was never an issue for the Globe editorial board, until that is it upsets the corporate agenda of its parent Bell.I will tell you who the loser is in this battle: tax payers. A corporate agenda right wing government who wastes our money chasing power and trashing a quasi monopolistic industry which is also fleecing taxpayers.It is all disgusting",source2_14531691_14,"Waiting tax payers money by the hundred of millions for partisan purposes was never an issue for the Globe editorial board, until that is it upsets the corporate agenda of its parent Bell. I will tell you who the loser is in this battle: tax payers. A corporate agenda right wing government who wastes our money chasing power and trashing a quasi monopolistic industry which is also fleecing taxpayers. It is all disgusting",100,100
14531691,Cranky Old Guy,source1_14531691_10,"With yet another prorogation by the Harper government, it's clear that the PC's see elections in Canada are to choose our dictator for the the next 4 or so years. Democracy is a messy way of doing things. As Churchill said, 'It has been said that democracy is the worst form of government except all the others that have been tried.'",source2_14531691_6,"With yet another prorogation by the Harper government, it's clear that the PC's see elections in Canada are to choose our dictator for the the next 4 or so years. Democracy is a messy way of doing things. As Churchill said, ""It has been said that democracy is the worst form of government except all the others that have been tried.""",100,100
14531691,lescaine,source1_14531691_11,The Harper Government (Conservatives?) would never promote citizenfirst.com,source2_14531691_15,The Harper Government (Conservatives?) would never promote citizenfirst. com,99,100
14531691,rowbat,source1_14531691_12,"While more competition can't be faulted, Verizon is not a low-cost provider in the US and would likely not have done much to lower Canadian consumer costs. Which is probably why they're not coming. That said, I think there were potential issues to be considered when a single company larger than all Canadian telecoms combined was thinking about entering the market. I'd rather see a company with a good competitive pricing record, and of similar size to our own providers, come into Canada. I think we can thank Justin Trudeau's 'middle class' policy talk for this latest Conservative advertising campaign. ",source2_14531691_16,"While more competition can't be faulted, Verizon is not a low-cost provider in the US and would likely not have done much to lower Canadian consumer costs. Which is probably why they're not coming. That said, I think there were potential issues to be considered when a single company larger than all Canadian telecoms combined was thinking about entering the market. I'd rather see a company with a good competitive pricing record, and of similar size to our own providers, come into Canada. I think we can thank Justin Trudeau's 'middle class' policy talk for this latest Conservative advertising campaign.",100,100
14531691,Brian Allen,source1_14531691_13,"If only there had been some kind of indication or clue that this government operates this way, back in 2011 around the time the Conservatives were running a $100-million dollar self-promotional Economic Action Plan advertising budget, when the Globe & Mail endorsed them.Oh well.  This is just the kind of 'bullheadedness' the endorsement called for, right?",source2_14531691_11,"If only there had been some kind of indication or clue that this government operates this way, back in 2011 around the time the Conservatives were running a $100-million dollar self-promotional Economic Action Plan advertising budget, when the Globe & Mail endorsed them. Oh well. This is just the kind of ""bullheadedness"" the endorsement called for, right?",100,100
14531691,Oceanbuoy,source1_14531691_14,And guess who the G & M will endorse in 2015?,source2_14531691_10,And guess who the G & M will endorse in 2015?,100,100
14531691,topper13,source1_14531691_15,This is ridiculous and there is nothing we can do about this wasteful spending... until 2015,source2_14531691_5,This is ridiculous and there is nothing we can do about this wasteful spending... until 2015,100,100
14531691,Pappa,source1_14531691_15_0,"Not true!  Support the opposition party of your choice.  Volunteer, protest, write your MP, post your objections to your favorite site.  There are many things you can do, just do it.  ",source2_14531691_5_0,"Not true! Support the opposition party of your choice. Volunteer, protest, write your MP, post your objections to your favorite site. There are many things you can do, just do it.",99,100
14531691,sirencall,source1_14531691_16,"According to the editorial the Harper web site is claiming that 'cellphone costs have fallen nearly 20 per cent since 2008, while jobs in the industry have increased 25 per cent'  -- but is that true?I know we're talking Harper so it's probably a bald faced lie told in the grim grey persona the Steve is sticking to, but still, shouldn't' the paper tell us that?",source2_14531691_4,"According to the editorial the Harper web site is claiming that ""cellphone costs have fallen nearly 20 per cent since 2008, while jobs in the industry have increased 25 per cent"" -- but is that true? I know we're talking Harper so it's probably a bald faced lie told in the grim grey persona the Steve is sticking to, but still, shouldn't' the paper tell us that?",100,100
14531691,DollyParker,source1_14531691_17,"I have not been a fan of the use of tax dollars for education campaigns, regardless of whether they are partisan. But I support this media campaign. The wireless oligopoly, which owns most of the media, crossed a line. They used their market power in media to completely carpet bomb the landscape with their message designed to further their rent-seeking ways and prevent competition.At that point, the government - if it is to act in the public good - must do everything it can to dismantle the oligopoly, including fighting back in the media. Such a move shouldn't be seen as partisan, but as healthy for our democracy.  I doubt the current government has such noble intent, but so be it.",source2_14531691_2,"I have not been a fan of the use of tax dollars for education campaigns, regardless of whether they are partisan. But I support this media campaign. The wireless oligopoly, which owns most of the media, crossed a line. They used their market power in media to completely carpet bomb the landscape with their message designed to further their rent-seeking ways and prevent competition. At that point, the government - if it is to act in the public good - must do everything it can to dismantle the oligopoly, including fighting back in the media. Such a move shouldn't be seen as partisan, but as healthy for our democracy. I doubt the current government has such noble intent, but so be it.",100,100
14531691,Not the Alliance,source1_14531691_17_0,"How did they 'prevent competition'?    If the prices charged are so out of line, why didn't any foreign carrier register for the spectrum auction to make the guaranteed and obviously easy profits?I suspect that Verizon was interested in entering the market at first - if only to test the waters (Verizon has enough resources that they could have bought 50% without blinking).  They bailed because they were being hailed as the solution to high prices.    Verizon does NOT market themselves as a 'discount' provider in any of their markets.   In fact, their whole marketing scheme is based upon their superior network.    They're not cheap and they have just as many disgruntled customers as any Canadian firm.     Harper and Moore oversold this entire issue.    The auction process IS unfair to Canadian firms and will actually limit competition.    If the legislation had been changed to close the 'new entrant' loophole there would have been NO controversy, hence no carpet bombing by the Canadian firms and Verizon probably would have participated.Harper and Moore blew it.",source2_14531691_2_0,"How did they ""prevent competition""?If the prices charged are so out of line, why didn't any foreign carrier register for the spectrum auction to make the guaranteed and obviously easy profits? I suspect that Verizon was interested in entering the market at first - if only to test the waters (Verizon has enough resources that they could have bought 50% without blinking). They bailed because they were being hailed as the solution to high prices. Verizon does NOT market themselves as a ""discount"" provider in any of their markets. In fact, their whole marketing scheme is based upon their superior network. They're not cheap and they have just as many disgruntled customers as any Canadian firm. Harper and Moore oversold this entire issue. The auction process IS unfair to Canadian firms and will actually limit competition. If the legislation had been changed to close the ""new entrant"" loophole there would have been NO controversy, hence no carpet bombing by the Canadian firms and Verizon probably would have participated. Harper and Moore blew it.",99,100
14531691,hunter2460,source1_14531691_17_1,"I'm def. not in favor of our tax dollars being used by this govt. for any type of propoganda exercise...but i totally hear you on the big 3 who I loathe with a passion...in fact we,re (taxpayers & customers) are in a big shyte sandwich on this oneDP",source2_14531691_2_1,"I'm def. not in favor of our tax dollars being used by this govt. for any type of propoganda exercise...but i totally hear you on the big 3 who I loathe with a passion...in fact we,re (taxpayers & customers) are in a big shy te sandwich on this one DP",100,98
14531691,Ajay6,source1_14531691_17_2,"Dolly, let me take up your point. 'Public Good' you say; I expect this would be the equal of the 'Public Interest'. Assuming this, has anyone published a quotable definition of the 'Public Interest/Good'? Me neither. And the reason is that there is no such a thing. Mere cant, is I believe the terminology used to deal with well --cant.To have bought into Harper's and Moore's crap(only this word suffices), and to go on to believe that cheaper rents from Verizon propounded by said crap, is to forget that the Americans wrote the Manual on Business---as so many Canadian Endeavours have painfully experienced.",source2_14531691_2_2,"Dolly, let me take up your point. ""Public Good' you say; I expect this would be the equal of the ""Public Interest"". Assuming this, has anyone published a quotable definition of the ""Public Interest/Good""? Me neither. And the reason is that there is no such a thing. Mere cant, is I believe the terminology used to deal with well --cant.To have bought into Harper's and Moore's crap(only this word suffices), and to go on to believe that cheaper rents from Verizon propounded by said crap, is to forget that the Americans wrote the Manual on Business---as so many Canadian Endeavours have painfully experienced.",100,100
14597254,Crank from Milford Bay,source1_14597254_0,A wake up call to anyone that thought Wynne would be different.  The rot continues.,source2_14597254_5,A wake up call to anyone that thought Wynne would be different. The rot continues.,99,100
14597254,you cant handle the truth,source1_14597254_1,"This media outlet should talk. Committee testimony, which this Queen's Park reporter, and every other buried, back in 2007, by the head of Elections Ontario, stated bluntly, how unfair the finance laws are here in Ontario, and how utterly, blatantly unfair, the liberal rearranged these laws, to favour THEM. Greg Sorbara, who chaired that committee, promised changes were coming to this man. These changes never occurred, and contrary to this writer, who has done more than most, to bury one scandal after another to protect his dear, liberal party, the head of EO, stated ONTARIO, has THEE worst finance laws in North American, with absolutely NO limits to third party financing, where these thire parties are not even required to state who they are to EO, outside of campaings. Thus, like we have heard from the Charbonneau Commission, where this media outlet has consistently buried these testimonies, rampant corruption is a likely result. We all heard from this commission from top mafia experts flown in from Italy, how under our liberal government, Ontario became the money laundering capital of the WORLD, for the mafia, and how virtually every business we all frequent, from banks to supermarkets, from malls to even funeral parlours, are all owned by the mafia, where they set up legitimate businesses to clean their dirty money they bring here from all over the world. And testimony from our own police experts have stated, how Ontario is a world class haven for every mafia don in the world. Ontario, has not only become the money laundering capital of the world (why do you suppose we have more building cranes and the most high rises being built in the western world?), but the best destination for the world's top mafia leaders to be sheltered in. And yet all this media outlet obsesses about, is how maybe, twenty years ago, Doug Ford was a drug dealer, and his brother a drug addict. Shows how the Thomson family's goals lie, eh?",source2_14597254_1,"This media outlet should talk. Committee testimony, which this Queen's Park reporter, and every other buried, back in 2007, by the head of Elections Ontario, stated bluntly, how unfair the finance laws are here in Ontario, and how utterly, blatantly unfair, the liberal rearranged these laws, to favour THEM. Greg Sorbara, who chaired that committee, promised changes were coming to this man. These changes never occurred, and contrary to this writer, who has done more than most, to bury one scandal after another to protect his dear, liberal party, the head of EO, stated ONTARIO, has THEE worst finance laws in North American, with absolutely NO limits to third party financing, where these t hire parties are not even required to state who they are to EO, outside of campaings. Thus, like we have heard from the Charbonneau Commission, where this media outlet has consistently buried these testimonies, rampant corruption is a likely result. We all heard from this commission from top mafia experts flown in from Italy, how under our liberal government, Ontario became the money laundering capital of the WORLD, for the mafia, and how virtually every business we all frequent, from banks to supermarkets, from malls to even funeral parlours, are all owned by the mafia, where they set up legitimate businesses to clean their dirty money they bring here from all over the world. And testimony from our own police experts have stated, how Ontario is a world class haven for every mafia don in the world. Ontario, has not only become the money laundering capital of the world (why do you suppose we have more building cranes and the most high rises being built in the western world?), but the best destination for the world's top mafia leaders to be sheltered in. And yet all this media outlet obsesses about, is how maybe, twenty years ago, Doug Ford was a drug dealer, and his brother a drug addict. Shows how the Thomson family's goals lie, eh?",100,100
14597254,stainless416,source1_14597254_2,Stainless416 Mrs. here - the solution is to change the Election Finances Act - NO donations from anyone except 'legacy' donations.  ALL political parties funded by a 'per vote' system.  This proposed system could not possibly cost the taxpayer more than the current system of tax credits on political donations.  These tax credits are not the same as charitable contributions because they actually come off of one's taxes payable - they are very generous.,source2_14597254_4,Stainless416 Mrs. here - the solution is to change the Election Finances Act - NO donations from anyone except 'legacy' donations. ALL political parties funded by a 'per vote' system. This proposed system could not possibly cost the taxpayer more than the current system of tax credits on political donations. These tax credits are not the same as charitable contributions because they actually come off of one's taxes payable - they are very generous.,100,100
14597254,Skinny Dipper,source1_14597254_3,"Wynne's Liberal Party screwed around with the teachers with Bill 115.  She is now screwing around with the construction workers with Bill 74.  Don't worry.  She will have lots of discussions and consultations, and then give the teachers and construction workers the middle finger again.Wynne's saving grace is that Andrew Horwath has ignored the teachers ever since Bill 115 was passed by the legislature.",source2_14597254_2,"Wynne's Liberal Party screwed around with the teachers with Bill 115. She is now screwing around with the construction workers with Bill 74. Don't worry. She will have lots of discussions and consultations, and then give the teachers and construction workers the middle finger again. Wynne's saving grace is that Andrew Horwath has ignored the teachers ever since Bill 115 was passed by the legislature.",100,100
14597254,John ON1,source1_14597254_4,Parties for SalePay the Liberals and the Consrevatives enough and they'll pass custom made legislation to put the boots to your your employees and their union. Wasn't the wife of the EllisDon owner a Liberal cabinet minister at one time?,source2_14597254_3,Parties for Sale Pay the Liberals and the Conservatives enough and they'll pass custom made legislation to put the boots to your your employees and their union. Wasn't the wife of the Ellis Don owner a Liberal cabinet minister at one time?,99,97
14597254,PSmith2,source1_14597254_5,"They are all a bunch of liars and thieves, the political situation in Ontario is depressing to say the least, there is simply no one to vote for.",source2_14597254_0,"They are all a bunch of liars and thieves, the political situation in Ontario is depressing to say the least, there is simply no one to vote for.",100,100
14541695,NotSew,source1_14541695_0,"“This ain’t no bake sale.”Too bad because I'd prefer a bake sale over the contrived, corporate crap you are dishing out.",source2_14541695_0,"'This ain't no bake sale.'Too bad because I'd prefer a bake sale over the contrived, corporate crap you are dishing out.",100,100
14541695,proscenium,source1_14541695_0_0,"It's a catch 22. Nobody likes the corporate crap, tut it's effective. Without it, many very important vital and life-saving projects would go under. What do you suggest instead that would raise millions of dollars rather than mere peanuts?",source2_14541695_0_0,"It's a catch 22. Nobody likes the corporate crap, tut it's effective. Without it, many very important vital and life-saving projects would go under. What do you suggest instead that would raise millions of dollars rather than mere peanuts?",100,100
14541695,TorontoGirl4,source1_14541695_0_1,"Boo hoo. His 'contrived corporate crap' is well on it's way to raising a billion dollars in 5 years for the hospital. Like it or lump it, his method is working.",source2_14541695_0_1,"Boo hoo. His ""contrived corporate crap"" is well on it's way to raising a billion dollars in 5 years for the hospital. Like it or lump it, his method is working.",100,100
14541695,Geordie,source1_14541695_1,"Before donating to charities, check the reports they render to the CRA. I'm surprised by the proportion of the money raised spent on administration and fundraising by many (certainly not all) charities, and especially Foundations.",source2_14541695_7,"Before donating to charities, check the reports they render to the CRA. I'm surprised by the proportion of the money raised spent on administration and fundraising by many (certainly not all) charities, and especially Foundations.",100,100
14541695,Julian Egelstaff,source1_14541695_1_0,"This is a very short sighted attitude, and it leads to not-for-profits being the only sector of the economy under pressure to be inefficient.  You have to spend a certain portion of funds on 'overhead' but no one wants to fund that, so there's intense pressure to pass all the money through to 'services' instead of investing in operations and tools that will make the services more effective.  An excellent write up of the problem:  http://www.ssireview.org/articles/entry/the_nonprofit_starvation_cycle/",source2_14541695_7_0,"This is a very short sighted attitude, and it leads to not-for-profits being the only sector of the economy under pressure to be inefficient. You have to spend a certain portion of funds on ""overhead"" but no one wants to fund that, so there's intense pressure to pass all the money through to ""services"" instead of investing in operations and tools that will make the services more effective. An excellent write up of the problem: http://www.ssireview.org/articles/entry/the_nonprofit_starvation_cycle/",100,100
14541695,CanWorms,source1_14541695_1_1,"Julian: You're partially correct. It is true that good administration is essential to effective use of funds. However, the percentage of donation spent on fundraising is another issue entirely. Some organizations give 50% commission to fundraisers. (The University of Waterloo used to do that.) I look for a low proportion of money raised spent on fundraising. The best organizations on that metric are the Mennonite charities (the names escape me at the moment: Mennonite Economic Development?).",source2_14541695_7_1,"Julian: You're partially correct. It is true that good administration is essential to effective use of funds. However, the percentage of donation spent on fundraising is another issue entirely. Some organizations give 50% commission to fundraisers. (The University of Waterloo used to do that.) I look for a low proportion of money raised spent on fundraising. The best organizations on that metric are the Mennonite charities (the names escape me at the moment: Mennonite Economic Development?).",100,100
14541695,Geordie,source1_14541695_1_2,"Julian: I read the write-up you referenced, and there are good points to consider. However, quoting from the article 'In our consulting work at the Bridgespan Group', I note that it is written by consultants working in the 'industry'.",source2_14541695_7_2,"Julian: I read the write-up you referenced, and there are good points to consider. However, quoting from the article ""In our consulting work at the Bridge span Group"", I note that it is written by consultants working in the ""industry"".",100,98
14541695,TorontoGirl4,source1_14541695_1_3,So sick of hearing this racket from people! Fundraising is competitive and requires a very specific skill set. A charity needs to invest in staff that can raise enough funds to maintain programs. Base your donation on the impact of the organization. ,source2_14541695_7_3,So sick of hearing this racket from people! Fundraising is competitive and requires a very specific skill set. A charity needs to invest in staff that can raise enough funds to maintain programs. Base your donation on the impact of the organization.,100,100
14541695,proscenium,source1_14541695_2,"If a hospital or research institute or global children's lifesaving agency needs millions of dollars to be able to do its work, how could they raise those funds unless they employ contemporary mass market methods with skilled well-paid corporate executives to run the operation?  A person with $60,000 a year skills is unlikely to be able to lead a $30,000,000 fundraising operation.",source2_14541695_5,"If a hospital or research institute or global children's lifesaving agency needs millions of dollars to be able to do its work, how could they raise those funds unless they employ contemporary mass market methods with skilled well-paid corporate executives to run the operation? A person with $60,000 a year skills is unlikely to be able to lead a $30,000,000 fundraising operation.",100,100
14541695,TorontoGirl4,source1_14541695_2_0,Amen! ,source2_14541695_5_0,Amen!,100,100
14541695,alex dennison,source1_14541695_3,"An article that talks about the new and wonderful ways that charities use social media to raise money, but doesn't give any concrete examples. Another piece of fluff.",source2_14541695_4,"An article that talks about the new and wonderful ways that charities use social media to raise money, but doesn't give any concrete examples. Another piece of fluff.",100,100
14541695,TorontoGirl4,source1_14541695_3_0,You're supposed to buy his book to get that information. It's called earned media.,source2_14541695_4_0,You're supposed to buy his book to get that information. It's called earned media.,100,100
14541695,ClareM1,source1_14541695_4,"People complain that they can't get help when they need it (the pet rescue centres I called didn't pick up etc) and then ALSO complain that they want their money to go to the animals... not the staff, not the phone line, not the internet bill.   To quote Dan Pallotta: 'We have a visceral reaction to the idea that anyone would make very much money helping other people. Interesting that we don’t have a visceral reaction to the notion that people would make a lot of money NOT helping other people. You know, you want to make 50 million dollars selling violent video games to kids, go for it. We’ll put you on the cover of Wired magazine. But you want to make half a million dollars trying to cure kids of malaria, and you’re considered a parasite yourself.'",source2_14541695_1,"People complain that they can't get help when they need it (the pet rescue centres I called didn't pick up etc) and then ALSO complain that they want their money to go to the animals... not the staff, not the phone line, not the internet bill. To quote Dan Pallotta: ""We have a visceral reaction to the idea that anyone would make very much money helping other people. Interesting that we don't have a visceral reaction to the notion that people would make a lot of money NOT helping other people. You know, you want to make 50 million dollars selling violent video games to kids, go for it. We'll put you on the cover of Wired magazine. But you want to make half a million dollars trying to cure kids of malaria, and you're considered a parasite yourself.""",100,100
14541695,Idam Satyam,source1_14541695_5,Cute articel Paul. Now tell us something - how much is your bonus in this 'not-for-profit' role? ,source2_14541695_6,"Cute artic el Paul. Now tell us something - how much is your bonus in this ""not-for-profit"" role?",99,97
14541695,Julian Egelstaff,source1_14541695_5_0,So you're saying that people should only do altruistic activities for less money than their time and expertise is worth?  Do you think that will help us make the world a better place?  Please watch this video and consider rethinking the role of 'charity':  http://www.ted.com/talks/dan_pallotta_the_way_we_think_about_charity_is_dead_wrong.html,source2_14541695_6_0,"So you're saying that people should only do altruistic activities for less money than their time and expertise is worth? Do you think that will help us make the world a better place? Please watch this video and consider rethinking the role of ""charity"": http://www.ted.com/talks/dan_pallotta_the_way_we_think_about_charity_is_dead_wrong.html",100,100
14541695,NotSew,source1_14541695_5_1,"Too funny. Julian has just signed up today to respond to unflattering comments. Are you working for author of the article, Julian.",source2_14541695_6_1,"Too funny. Julian has just signed up today to respond to unflattering comments. Are you working for author of the article, Julian.",100,100
14541695,CanWorms,source1_14541695_5_2,"I watched the video. The speaker totally ignores the issue of fraud in charities. Totally. As if it never, ever existed. In fact, there is an inherent conflict of interest for people who run charities: they are raising money ostensibly for a cause, but less ostensibly to pay their own salaries. Also, there is widespread fraud (in the moral, if not legal, sense of the word) in charities.",source2_14541695_6_2,"I watched the video. The speaker totally ignores the issue of fraud in charities. Totally. As if it never, ever existed. In fact, there is an inherent conflict of interest for people who run charities: they are raising money ostensibly for a cause, but less ostensibly to pay their own salaries. Also, there is widespread fraud (in the moral, if not legal, sense of the word) in charities.",100,100
14541695,Ron Libtech,source1_14541695_6,"Donor fatigue here. Unless it's a little girl selling cookies I tune out. Please go ask RBC or JP Morgan for money, I've heard they rake in billions every year.",source2_14541695_3,"Donor fatigue here. Unless it's a little girl selling cookies I tune out. Please go ask RBC or JP Morgan for money, I've heard they rake in billions every year.",100,100
14541695,TorontoGirl4,source1_14541695_6_0,"So you're saying it's the messenger, not the message that makes you donate? That's sad.",source2_14541695_3_0,"So you're saying it's the messenger, not the message that makes you donate? That's sad.",100,100
14541695,Ron Libtech,source1_14541695_6_1,"Sorry TorontoGirl4, I meant I can be guilted into donations by little kids trying to go to camp or get badges. Everyone else can wait until I'm a millionaire and have money to throw at charities for tax deductions.",source2_14541695_3_1,"Sorry TorontoGirl4, I meant I can be guilt ed into donations by little kids trying to go to camp or get badges. Everyone else can wait until I'm a millionaire and have money to throw at charities for tax deductions.",100,99
14541695,Straight talk,source1_14541695_7,"Ever since I read about MAD fund bonanza (79% of donations go to administrative cost), I stopped donations to charities for humans.",source2_14541695_2,"Ever since I read about MAD fund bonanza (79% of donations go to administrative cost), I stopped donations to charities for humans.",100,100
14541695,Cogdis,source1_14541695_7_0,Why do you assume charities for non-humans are any better?,source2_14541695_2_0,Why do you assume charities for non-humans are any better?,100,100
14541695,ruralgunowner,source1_14541695_7_1,"If you've ever called an animal 'rescue' organization then you'll find most of them are scams as well. I called every one in Toronto for help a few years ago, only the Toronto Wildlife Service responded (to their credit) outside of business hours.",source2_14541695_2_1,"If you've ever called an animal 'rescue' organization then you'll find most of them are scams as well. I called every one in Toronto for help a few years ago, only the Toronto Wildlife Service responded (to their credit) outside of business hours.",100,100
14541695,ClareM1,source1_14541695_7_2,"@ruralgunowner, perhaps those other orgs couldn't reply because no donors would support a phone line over pet food?   OVERHEAD is what gets your call answered when you need help! ",source2_14541695_2_2,"@ruralgunowner, perhaps those other orgs couldn't reply because no donors would support a phone line over pet food? OVERHEAD is what gets your call answered when you need help!",99,100
14541695,TorontoGirl4,source1_14541695_7_3,What the hell?! Who do you think does the WORK to effect change? ,source2_14541695_2_3,What the hell?! Who do you think does the WORK to effect change?,100,100
14541695,ruralgunowner,source1_14541695_8,"Professional parasites... still, I guess they're a step above our politicians and civil servants...",source2_14541695_8,"Professional parasites... still, I guess they're a step above our politicians and civil servants...",100,100
